timestamp,kwh,building,month,hour
2023-02-01 00:00:00,56.41381274275775,BuildingA,Feb,0
2023-02-01 01:00:00,18.02908627756321,BuildingA,Feb,1
2023-02-01 02:00:00,88.23961761288581,BuildingA,Feb,2
2023-02-01 03:00:00,51.37498666159915,BuildingA,Feb,3
2023-02-01 04:00:00,23.73265263825457,BuildingA,Feb,4
2023-02-01 05:00:00,94.85703895908658,BuildingA,Feb,5
2023-02-01 06:00:00,82.08535610630582,BuildingA,Feb,6
2023-02-01 07:00:00,11.570364529964948,BuildingA,Feb,7
2023-02-01 08:00:00,34.25731234541925,BuildingA,Feb,8
2023-02-01 09:00:00,66.15565237532878,BuildingA,Feb,9
2023-02-01 10:00:00,55.82261824401691,BuildingA,Feb,10
2023-02-01 11:00:00,37.13642509557688,BuildingA,Feb,11
2023-02-01 12:00:00,18.60333708203661,BuildingA,Feb,12
2023-02-01 13:00:00,64.85016638399762,BuildingA,Feb,13
2023-02-01 14:00:00,21.089871310476678,BuildingA,Feb,14
2023-02-01 15:00:00,49.08921728698111,BuildingA,Feb,15
2023-02-01 16:00:00,49.99697882620551,BuildingA,Feb,16
2023-02-01 17:00:00,94.99939907995793,BuildingA,Feb,17
2023-02-01 18:00:00,60.99961887096002,BuildingA,Feb,18
2023-02-01 19:00:00,66.12878934385623,BuildingA,Feb,19
2023-02-01 20:00:00,60.56805234457299,BuildingA,Feb,20
2023-02-01 21:00:00,82.77882320827028,BuildingA,Feb,21
2023-02-01 22:00:00,80.61610930788002,BuildingA,Feb,22
2023-02-01 23:00:00,29.027982386388896,BuildingA,Feb,23
2023-02-02 00:00:00,31.29920433306793,BuildingA,Feb,0
2023-02-02 01:00:00,58.1717477502191,BuildingA,Feb,1
2023-02-02 02:00:00,87.83205762128915,BuildingA,Feb,2
2023-02-02 03:00:00,71.56816041995197,BuildingA,Feb,3
2023-02-02 04:00:00,34.45975505013237,BuildingA,Feb,4
2023-02-02 05:00:00,12.6526436373433,BuildingA,Feb,5
2023-02-02 06:00:00,49.8533088301164,BuildingA,Feb,6
2023-02-02 07:00:00,23.949419037851605,BuildingA,Feb,7
2023-02-02 08:00:00,14.470683329170235,BuildingA,Feb,8
2023-02-02 09:00:00,12.974611731121128,BuildingA,Feb,9
2023-02-02 10:00:00,48.78813415640177,BuildingA,Feb,10
2023-02-02 11:00:00,77.96037376925543,BuildingA,Feb,11
2023-02-02 12:00:00,92.99564254660952,BuildingA,Feb,12
2023-02-02 13:00:00,92.55411027883564,BuildingA,Feb,13
2023-02-02 14:00:00,16.505886774754796,BuildingA,Feb,14
2023-02-02 15:00:00,92.17256526320573,BuildingA,Feb,15
2023-02-02 16:00:00,71.61683440715834,BuildingA,Feb,16
2023-02-02 17:00:00,94.30716470202344,BuildingA,Feb,17
2023-02-02 18:00:00,44.12811306009311,BuildingA,Feb,18
2023-02-02 19:00:00,82.10446009899312,BuildingA,Feb,19
2023-02-02 20:00:00,75.64223285632092,BuildingA,Feb,20
2023-02-02 21:00:00,81.16835002701275,BuildingA,Feb,21
2023-02-02 22:00:00,35.9052252394924,BuildingA,Feb,22
2023-02-02 23:00:00,62.82120418953192,BuildingA,Feb,23
2023-02-03 00:00:00,20.66064623845848,BuildingA,Feb,0
2023-02-03 01:00:00,72.51733328806122,BuildingA,Feb,1
2023-02-03 02:00:00,25.53156870287972,BuildingA,Feb,2
2023-02-03 03:00:00,26.627668183039752,BuildingA,Feb,3
2023-02-03 04:00:00,39.92431315334646,BuildingA,Feb,4
2023-02-03 05:00:00,58.93404957341472,BuildingA,Feb,5
2023-02-03 06:00:00,36.47596602383139,BuildingA,Feb,6
2023-02-03 07:00:00,36.38858018261949,BuildingA,Feb,7
2023-02-03 08:00:00,49.26857524163338,BuildingA,Feb,8
2023-02-03 09:00:00,57.99980098992342,BuildingA,Feb,9
2023-02-03 10:00:00,68.17788946550647,BuildingA,Feb,10
2023-02-03 11:00:00,78.92458058856175,BuildingA,Feb,11
2023-02-03 12:00:00,92.92317536375182,BuildingA,Feb,12
2023-02-03 13:00:00,55.6609845887785,BuildingA,Feb,13
2023-02-03 14:00:00,77.22496399864879,BuildingA,Feb,14
2023-02-03 15:00:00,25.833243471783405,BuildingA,Feb,15
2023-02-03 16:00:00,26.26230218314403,BuildingA,Feb,16
2023-02-03 17:00:00,10.815861392624653,BuildingA,Feb,17
2023-02-03 18:00:00,41.90522058470334,BuildingA,Feb,18
2023-02-03 19:00:00,37.66825155472918,BuildingA,Feb,19
2023-02-03 20:00:00,29.346719354043184,BuildingA,Feb,20
2023-02-03 21:00:00,44.64617287941663,BuildingA,Feb,21
2023-02-03 22:00:00,80.90191697085791,BuildingA,Feb,22
2023-02-03 23:00:00,52.326526503387576,BuildingA,Feb,23
